id,name,now_cost,position,team,transfers_in_event,goals_conceded,expected_goal_involvements,chance_of_playing_this_round,creativity,threat,dreamteam_count,bonus,red_cards,expected_goals_per_90,transfers_out,in_dreamteam,corners_and_indirect_freekicks_order,own_goals,influence_rank_type,ict_index_rank_type,selected_rank,goals_scored,transfers_in,event_points,value_form,selected_by_percent,cost_change_start_fall,minutes,total_points,cost_change_event,points_per_game_rank_type,selected_rank_type,bps,clean_sheets,threat_rank,status,influence,form_rank_type,news,clean_sheets_per_90,goals_conceded_per_90,form,ict_index,ep_this,cost_change_event_fall,web_name,ep_next,penalties_order,saves,starts,value_season,yellow_cards,cost_change_start,now_cost_rank_type,form_rank,points_per_game_rank,expected_goal_involvements_per_90,transfers_out_event,expected_goals_conceded_per_90,creativity_rank,threat_rank_type,expected_goals,chance_of_playing_next_round,starts_per_90,expected_goals_conceded,expected_assists,assists,creativity_rank_type,saves_per_90,news_added,points_per_game,expected_assists_per_90,influence_rank,direct_freekicks_order,now_cost_rank,ict_index_rank
1,Fábio Ferreira Vieira,54,MID,Arsenal,266,0,0.00,75.0,0.0,0.0,0,0,0,0.0,1142,False,,0,265,270,567,0,350,0,0.0,0.0,1,0,0,-1,269,247,0,0,586,a,0.0,269,,0.0,0.0,0.0,0.0,0.8,1,Fábio Vieira,1.0,4.0,0,0,0.0,0,-1,104,596,596,0.0,268,0.0,597,264,0.00,100.0,0.0,0.00,0.00,0,270,0.0,2024-08-12T17:00:05.432893Z,0.0,0.0,595,,169,600
2,Gabriel Fernando de Jesus,69,FWD,Arsenal,2816,0,0.00,,0.8,0.0,0,0,0,0.0,106745,False,,0,35,36,166,0,14986,0,0.0,1.5,1,5,0,0,69,28,1,0,623,d,0.2,69,Groin Injury - 75% chance of playing,0.0,0.0,0.0,0.1,1.0,0,G.Jesus,0.8,,0,0,0.0,1,-1,16,621,621,0.0,40600,2.7,285,69,0.00,75.0,0.0,0.15,0.00,0,30,0.0,2024-08-25T11:00:05.312580Z,0.0,0.0,328,,36,336
3,Gabriel dos Santos Magalhães,60,DEF,Arsenal,36597,0,0.16,,3.3,8.0,0,1,0,0.06,102136,False,,0,30,51,29,0,73320,6,1.0,13.0,0,180,12,0,10,9,47,2,153,a,35.2,8,,1.0,0.0,6.0,4.6,7.0,0,Gabriel,7.0,,0,2,2.0,1,0,5,31,35,0.08,40229,0.88,219,32,0.12,,1.0,1.75,0.04,0,64,0.0,,6.0,0.02,96,,80,162
4,Kai Havertz,81,FWD,Arsenal,140969,0,0.73,,30.2,61.0,1,3,0,0.33,194748,False,,0,5,6,18,1,491923,2,0.9,17.1,-1,180,14,0,3,5,46,2,20,a,54.8,3,,1.0,0.0,7.0,14.5,8.0,0,Havertz,8.0,3.0,0,2,1.7,0,1,4,17,18,0.37,129620,0.88,69,8,0.66,,1.0,1.75,0.07,1,5,0.0,,7.0,0.04,33,,12,28
5,Karl Hein,40,GKP,Arsenal,0,0,0.00,0.0,0.0,0.0,0,0,0,0.0,1656,False,,0,46,46,505,0,0,0,0.0,0.1,0,0,0,0,45,63,0,0,305,u,0.0,45,Loaned to Real Valladolid,0.0,0.0,0.0,0.0,0.0,0,Hein,0.0,,0,0,0.0,0,0,63,379,379,0.0,426,0.0,363,25,0.00,0.0,0.0,0.00,0.00,0,27,0.0,2024-08-14T08:31:46.556082Z,0.0,0.0,375,,602,383
6,Jurriën Timber,55,DEF,Arsenal,15358,0,0.04,,5.5,10.0,0,0,0,0.02,18624,False,,0,102,90,189,0,19657,6,0.6,0.9,0,99,7,0,37,68,26,1,136,a,3.4,35,,0.91,0.0,3.5,1.8,4.5,0,J.Timber,4.5,,0,1,1.3,0,0,14,93,96,0.04,6642,1.15,189,27,0.02,,0.91,1.27,0.02,0,54,0.0,,3.5,0.02,281,,134,267
7,Jorge Luiz Frello Filho,49,MID,Arsenal,1782,0,0.00,,0.0,0.0,0,0,0,0.0,11042,False,,0,225,231,316,0,4397,0,0.0,0.3,1,0,0,-1,232,105,0,0,495,a,0.0,232,,0.0,0.0,0.0,0.0,1.0,1,Jorginho,1.0,,0,0,0.0,0,-1,202,534,534,0.0,4278,0.0,526,210,0.00,,0.0,0.00,0.00,0,232,0.0,,0.0,0.0,527,,307,534
8,Jakub Kiwior,49,DEF,Arsenal,505,0,0.00,,0.0,0.0,0,0,0,0.0,5800,False,,0,197,197,378,0,1213,0,0.0,0.2,1,0,0,-1,195,142,0,0,507,a,0.0,195,,0.0,0.0,0.0,0.0,1.0,1,Kiwior,1.0,,0,0,0.0,0,-1,41,544,544,0.0,1850,0.0,536,192,0.00,,0.0,0.00,0.00,0,197,0.0,,0.0,0.0,538,,323,545
9,Gabriel Martinelli Silva,70,MID,Arsenal,12284,0,0.68,,63.0,35.0,0,0,0,0.05,64319,False,,0,75,33,116,0,33456,3,0.4,2.7,0,154,6,0,46,38,25,2,54,a,20.0,45,,1.17,0.0,3.0,11.8,4.0,0,Martinelli,4.0,,0,2,0.9,0,0,16,110,111,0.4,30389,0.93,23,33,0.08,,1.17,1.59,0.60,0,20,0.0,,3.0,0.35,179,,30,47
10,Reiss Nelson,50,MID,Arsenal,280,0,0.00,,0.0,0.0,0,0,0,0.0,1231,False,,0,150,164,527,0,532,1,0.1,0.0,0,2,1,0,131,215,3,0,529,a,2.0,149,,0.0,0.0,0.5,0.2,1.5,0,Nelson,1.5,,0,0,0.2,0,0,138,300,262,0.0,430,0.9,556,228,0.00,,0.0,0.02,0.00,0,248,0.0,,1.0,0.0,301,,214,322
11,Eddie Nketiah,59,FWD,Arsenal,2197,0,0.00,,0.0,0.0,0,0,0,0.0,14123,False,,0,66,66,309,0,4593,0,0.0,0.3,1,0,0,0,65,49,0,0,606,a,0.0,65,,0.0,0.0,0.0,0.0,1.0,0,Nketiah,1.0,,0,0,0.0,0,-1,27,609,609,0.0,4774,0.0,612,65,0.00,,0.0,0.00,0.00,0,66,0.0,,0.0,0.0,612,,90,612
12,Ethan Nwaneri,45,MID,Arsenal,2232,0,0.00,,0.0,0.0,0,0,0,0.0,5400,False,,0,200,207,346,0,4698,0,0.0,0.2,0,0,0,0,208,118,0,0,462,a,0.0,208,,0.0,0.0,0.0,0.0,1.0,0,Nwaneri,1.0,,0,0,0.0,0,0,254,504,504,0.0,2482,0.0,497,184,0.00,,0.0,0.00,0.00,0,208,0.0,,0.0,0.0,497,,487,505
13,Martin Ødegaard,85,MID,Arsenal,24431,0,0.94,,58.2,35.0,0,0,0,0.14,303211,False,3.0,0,67,34,27,0,53278,2,0.3,13.2,0,180,5,0,63,11,20,2,55,a,24.4,62,,1.0,0.0,2.5,11.8,3.5,0,Ødegaard,3.5,2.0,0,2,0.6,1,0,8,129,130,0.47,146522,0.88,27,34,0.28,,1.0,1.75,0.66,0,24,0.0,,2.5,0.33,158,1.0,10,48
14,Aaron Ramsdale,45,GKP,Arsenal,1676,0,0.00,,0.0,0.0,0,0,0,0.0,18760,False,,0,61,61,209,0,4054,0,0.0,0.7,0,0,0,0,60,29,0,0,401,a,0.0,60,,0.0,0.0,0.0,0.0,1.0,0,Ramsdale,1.0,,0,0,0.0,0,0,28,454,454,0.0,6713,0.0,445,50,0.00,,0.0,0.00,0.00,0,51,0.0,,0.0,0.0,448,,409,456
15,David Raya Martin,55,GKP,Arsenal,209210,0,0.00,,0.0,0.0,1,4,0,0.0,128497,True,,0,4,5,12,0,280885,10,1.6,27.2,0,180,18,0,1,1,55,2,592,a,56.2,1,,1.0,0.0,9.0,5.6,10.0,0,Raya,10.0,,6,2,3.3,0,0,4,6,7,0.0,40219,0.88,602,67,0.00,,1.0,1.75,0.00,0,67,3.0,,9.0,0.0,29,,112,129
16,Declan Rice,65,MID,Arsenal,12103,0,0.32,,25.7,29.0,0,0,0,0.08,125196,False,2.0,0,62,58,73,0,37519,2,0.4,5.6,0,174,5,0,54,24,27,2,70,a,25.4,53,,1.03,0.0,2.5,8.0,3.5,0,Rice,3.5,,0,2,0.8,1,0,28,120,121,0.16,55483,0.83,80,45,0.16,,1.03,1.60,0.16,0,63,0.0,,2.5,0.08,150,2.0,47,82
17,Bukayo Saka,100,MID,Arsenal,179340,0,0.87,,89.1,105.0,1,2,0,0.22,218204,True,1.0,0,4,1,7,1,419628,6,0.9,34.2,0,166,18,0,6,3,63,2,3,a,92.0,5,,1.08,0.0,9.0,28.6,10.0,0,Saka,10.0,1.0,0,2,1.8,1,0,4,8,9,0.47,119858,0.85,7,2,0.40,,1.08,1.57,0.47,2,6,0.0,,9.0,0.25,7,,5,1
18,William Saliba,60,DEF,Arsenal,98429,0,0.01,,2.1,0.0,0,0,0,0.0,205903,False,,0,20,63,3,0,169584,6,1.0,39.8,0,180,12,0,11,1,50,2,610,a,38.6,9,,1.0,0.0,6.0,4.1,7.0,0,Saliba,7.0,,0,2,2.0,0,0,6,32,36,0.0,80357,0.88,247,205,0.00,,1.0,1.75,0.01,0,77,0.0,,6.0,0.0,77,,82,191
20,Thomas Partey,50,MID,Arsenal,63862,0,0.30,,51.1,9.0,0,3,0,0.08,11040,False,,0,18,35,195,1,68208,11,1.4,0.9,0,180,14,0,9,66,43,2,140,a,53.8,8,,1.0,0.0,7.0,11.4,8.0,0,Thomas,8.0,,0,2,2.8,0,0,131,13,14,0.15,8968,0.88,29,83,0.16,,1.0,1.75,0.14,0,25,0.0,,7.0,0.07,36,,205,50
21,Kieran Tierney,44,DEF,Arsenal,42,0,0.00,0.0,0.0,0.0,0,0,0,0.0,2280,False,,0,151,151,550,0,94,0,0.0,0.0,1,0,0,-1,147,185,0,0,335,i,0.0,147,Hamstring injury - Unknown return date,0.0,0.0,0.0,0.0,0.0,1,Tierney,0.0,,0,0,0.0,0,-1,143,408,408,0.0,496,0.0,391,125,0.00,0.0,0.0,0.00,0.00,0,150,0.0,2024-08-12T14:30:04.394338Z,0.0,0.0,403,,534,411
22,Tomiyasu Takehiro,49,DEF,Arsenal,39,0,0.00,0.0,0.0,0.0,0,0,0,0.0,3712,False,,0,196,196,514,0,88,0,0.0,0.1,1,0,0,0,194,181,0,0,505,i,0.0,194,Knee injury - Unknown return date,0.0,0.0,0.0,0.0,0.0,0,Tomiyasu,0.0,,0,0,0.0,0,-1,40,542,542,0.0,745,0.0,534,191,0.00,0.0,0.0,0.00,0.00,0,196,0.0,2024-08-12T14:30:04.404182Z,0.0,0.0,536,,320,543
